Voltage (V),Current (A),Capacity (mAh),T1(C),
3.8346,-13.9992,6571.8,36,
3.8329,-13.999,6610.7,36,
3.8312,-13.9991,6649.6,36,
3.8296,-13.999,6688.5,36,
3.8279,-13.9993,6727.4,36,
3.8263,-13.9987,6766.2,36,
3.8246,-13.9991,6805.1,36,
3.823,-13.9992,6844,36,
3.8214,-13.9989,6882.9,36,
3.8199,-13.9995,6921.8,36,
3.8183,-13.999,6960.7,36,
3.8167,-13.9992,6999.6,36.1,
3.8152,-13.9994,7038.4,36.1,
3.8137,-13.9989,7077.3,36.1,
3.8121,-13.9993,7116.2,36.1,
3.8106,-13.9994,7155.1,36.1,
3.8091,-13.9989,7194,36.1,
3.8076,-13.9994,7232.9,36.1,
3.8062,-13.9987,7271.8,36.1,
3.8047,-13.9986,7310.7,36.1,
3.8032,-13.9992,7349.5,36.1,
3.8018,-13.9989,7388.4,36.1,
3.8004,-13.9987,7427.3,36.1,
3.799,-13.9989,7466.2,36,
3.7975,-13.9991,7505.1,36,
3.7962,-13.9991,7544,36.1,
3.7948,-13.9991,7582.9,36.1,
3.7934,-13.999,7621.7,36.1,
3.7921,-13.9992,7660.6,36.1,
3.7907,-13.9995,7699.5,36.1,
3.7894,-13.999,7738.4,36.1,
3.788,-13.9989,7777.3,36.1,
3.7867,-13.9993,7816.2,36.1,
3.7854,-13.9991,7855.1,36.1,
3.7841,-13.9997,7893.9,36.1,
3.7828,-13.9992,7932.8,36.1,
3.7815,-13.9988,7971.7,36.1,
3.7803,-13.9993,8010.6,36.1,
3.779,-13.9991,8049.5,36.1,
3.7778,-14,8088.4,36.1,
3.7765,-13.9989,8127.3,36.1,
3.7753,-13.9993,8166.2,36.1,
3.774,-13.9996,8205,36.1,
3.7728,-13.9988,8243.9,36.1,
3.7716,-13.9985,8282.8,36.1,
3.7705,-13.9999,8321.7,36.1,
3.7692,-13.9987,8360.6,36.1,
3.7681,-13.9985,8399.5,36.1,
3.7669,-13.999,8438.4,36.1,
3.7657,-13.9989,8477.2,36.1,
3.7646,-13.9998,8516.1,36.1,
3.7634,-13.9993,8555,36.1,
3.7623,-13.9991,8593.9,36.2,
3.7611,-13.9994,8632.8,36.2,
3.76,-13.999,8671.7,36.2,
3.7589,-13.9986,8710.6,36.1,
3.7578,-13.9992,8749.5,36.1,
3.7567,-13.999,8788.3,36.2,
3.7556,-13.9992,8827.2,36.2,
3.7545,-13.999,8866.1,36.2,
3.7534,-13.9991,8905,36.2,
3.7523,-13.9988,8943.9,36.2,
3.7513,-13.9994,8982.8,36.2,
3.7503,-13.9993,9021.7,36.2,
3.7491,-13.9992,9060.5,36.2,
3.7481,-13.9993,9099.4,36.2,
3.7471,-13.9993,9138.3,36.2,
3.746,-13.9992,9177.2,36.2,
3.7451,-13.9994,9216.1,36.2,
3.744,-13.9993,9255,36.2,
3.743,-13.9993,9293.9,36.3,
3.742,-13.9992,9332.7,36.2,
3.741,-13.9993,9371.6,36.2,
3.74,-13.9988,9410.5,36.2,
3.739,-13.999,9449.4,36.2,
3.738,-13.999,9488.3,36.2,
