Time_s,Voltage_V,Current_A,Temperature_C
36334,4.068150453091598,-18.0,60.114589067959876
36335,4.0684677126874265,-18.0,60.11726672277942
36336,4.068784995953391,-18.0,60.11993921096563
36337,4.069102303278469,-18.0,60.12260654329031
36338,4.069419635054987,-18.0,60.12526873049111
36339,4.069736991678584,-18.0,60.127925783271884
36340,4.070054373548176,-18.0,60.130577712302944
36341,4.070371781065921,-18.0,60.133224528221355
36342,4.070689214637182,-18.0,60.13586624163119
36343,4.0710066746704925,-18.0,60.13850286310384
36344,4.071324161577524,-18.0,60.14113440317825
36345,4.071641675773045,-18.0,60.14376087236121
36346,4.0719592176748955,-18.0,60.14638228112762
36347,4.07227678770394,-18.0,60.14899863992073
36348,4.072594386284045,-18.0,60.15160995915242
36349,4.072912013842042,-18.0,60.154216249203444
36350,4.006935009919286,0.0,60.135916970921286
36351,4.002058806819699,0.0,60.11765427289642
36352,3.997386990276891,0.0,60.09942808200489
36353,3.9929110508837145,0.0,60.08123832526896
36354,3.9886228324853263,0.0,60.06308492985676
36355,3.984514517433138,0.0,60.044967823081976
36356,3.980578612557667,0.0,60.026886932403634
36357,3.976807935722211,0.0,60.00884218542576
36358,3.9731956029333078,0.0,59.9908335098971
36359,3.969735015984941,0.0,59.97286083371082
36360,3.9664198506143786,0.0,59.954924084904235
36361,3.9632440451484916,0.0,59.93702319165851
36362,3.960201789620226,0.0,59.91915808229839
36363,3.9572875153357856,0.0,59.90132868529187
36364,3.9544958848738534,0.0,59.883534929249976
36365,3.95182178249898,0.0,59.86577674292641
36366,3.949260304971988,0.0,59.8480540552173
36367,3.9468067527409554,0.0,59.83036679516092
36368,3.9444566214970305,0.0,59.8127148919374
36369,3.942205594079972,0.0,59.795098274868415
36370,3.9400495327189344,0.0,59.77751687341696
36371,3.9379844715946244,0.0,59.759970617187
36372,3.9360066097095245,0.0,59.742459435923244
36373,3.9341123040534254,0.0,59.724983259510836
36374,3.93229806305205,0.0,59.70754201797507
36375,3.9305605402870407,0.0,59.69013564148114
36376,3.9288965284760815,0.0,59.67276406033382
36377,3.927302953702385,0.0,59.65542720497721
36378,3.9257768698832174,0.0,59.63812500599446
36379,3.9243154534675666,0.0,59.620857394107475
36380,3.922915998353472,0.0,59.603624300176655
36381,3.9215759110159087,0.0,59.5864256552006
36382,3.9202927058365242,0.0,59.56926139031585
36383,3.919064000626858,0.0,59.552131436796614
36384,3.9178875123370416,0.0,59.53503572605446
36385,3.916761052942294,0.0,59.517974189638075
36386,3.9156825254998524,0.0,59.50094675923299
36387,3.9146499203692837,0.0,59.48395336666128
36388,3.913661311589411,0.0,59.46699394388133
36389,3.9127148534053644,0.0,59.450068422987506
36390,3.9118087769395538,0.0,59.43317673620995
36391,3.9109413870005847,0.0,59.416318815914266
36392,3.910111059024426,0.0,59.39949459460126
36393,3.9093162361423355,0.0,59.38270400490665
36394,3.9085554263703077,0.0,59.36594697960084
36395,3.9078271999150025,0.0,59.34922345158862
36396,3.9071301865913344,0.0,59.33253335390889
36397,3.9064630733471017,0.0,59.31587661973443
36398,3.9058246018902145,0.0,59.29925318237159
36399,3.905213566414285,0.0,59.282662975260024
36400,3.90462881141849,0.0,59.266105931972476
36401,3.9040692296178197,0.0,59.24958198621446
36402,3.903533759939955,0.0,59.23309107182402
36403,3.903021385605192,0.0,59.21663312277145
36404,3.9025311322859744,0.0,59.200208073159025
36405,3.9020620663427317,0.0,59.183815857220786
36406,3.901613293132873,0.0,59.1674564093222
36407,3.9011839553898895,0.0,59.15112966395996
36408,3.9007732316696844,0.0,59.13483555576171
36409,3.9003803348613215,0.0,59.11857401948574
36410,3.900004510759541,0.0,59.10234499002079
36411,3.899645036696479,0.0,59.08614840238574
36412,3.899301220230138,0.0,59.06998419172937
36413,3.898972397887253,0.0,59.0538522933301
36414,3.8986579339583085,0.0,59.037752642595734
36415,3.89835721934254,0.0,59.02168517506319
36416,3.898069670440849,0.0,59.00564982639823
36417,3.8977947280946523,0.0,58.98964653239526
36418,3.897531856568753,0.0,58.97367522897701
36419,3.8972805425764188,0.0,58.95773585219428
36420,3.8970402943449116,0.0,58.94182833822575
36421,3.8968106407197975,0.0,58.92595262337763
36422,3.8965911303064273,0.0,58.91010864408351
36423,3.8963813306470487,0.0,58.894296336903984
36424,3.896180827432071,0.0,58.87851563852651
36425,3.895989223744072,0.0,58.8627664857651
36426,3.8958061393331853,0.0,58.84704881556006
36427,3.895631209922571,0.0,58.83136256497775
36428,3.8954640865427197,0.0,58.81570767121036
36429,3.8953044348933994,0.0,58.80008407157561
36430,3.8951519347320933,0.0,58.78449170351653
36431,3.895006279287838,0.0,58.7689305046012
36432,3.8948671746994035,0.0,58.7534004125225
36433,3.8947343394768055,0.0,58.73790136509787
36434,3.89460750398519,0.0,58.72243330026904
36435,3.8944864099501544,0.0,58.7069961561018
36436,3.894370809983621,0.0,58.691589870785755
36437,3.8942604671294085,0.0,58.67621438263405
36438,3.89415515442769,0.0,58.66086963008316
36439,3.894054654497543,0.0,58.645555551692624
36440,3.8939587591368596,0.0,58.63027208614479
36441,3.8938672689388754,0.0,58.61501917224459
36442,3.8937799929246433,0.0,58.599796748919275
36443,3.8936967481907905,0.0,58.58460475521819
36444,3.893617359571912,0.0,58.56944313031251
36445,3.8935416593170116,0.0,58.55431181349501
36446,3.8934694867793898,0.0,58.53921074417984
36447,3.8934006881194376,0.0,58.52413986190223
36448,3.893335116019786,0.0,58.50909910631829
36449,3.8932726294123134,0.0,58.494088417204765
36450,3.8932130932164997,0.0,58.47910773445877
36451,3.8931563780886793,0.0,58.464156998097586
36452,3.8931023601817243,0.0,58.44923614825839
36453,3.893050920914726,0.0,58.43434512519802
36454,3.893001946752273,0.0,58.41948386929275
36455,3.8929553289929104,0.0,58.404652321038036
36456,3.8929109635664108,0.0,58.38985042104828
36457,3.8928687508394875,0.0,58.375078110056606
36458,3.8928285954296014,0.0,58.3603353289146
36459,3.8927904060265197,0.0,58.3456220185921
36460,3.892754095221313,0.0,58.33093812017694
36461,3.892719579342477,0.0,58.3162835748747
36462,3.892686778298884,0.0,58.30165832400853
36463,3.892655615429277,0.0,58.287062309018836
36464,3.892626017358045,0.0,58.27249547146311
36465,3.89259791385701,0.0,58.25795775301566
36466,3.8925712377129704,0.0,58.243449095467376
36467,3.8925459246007814,0.0,58.228969440725535
36468,3.8925219129617212,0.0,58.21451873081352
36469,3.8924991438869374,0.0,58.20009690787063
36470,3.892477561005756,0.0,58.185703914151794
36471,3.892457110378651,0.0,58.1713396920274
36472,3.892437740394687,0.0,58.15700418398304
36473,3.892419401673241,0.0,58.142697332619264
36474,3.892402046969829,0.0,58.12841908065136
36475,3.8923856310858693,0.0,58.11416937090914
36476,3.892370110782214,0.0,58.09994814633669
36477,3.8923554446962974,0.0,58.08575534999217
36478,3.892341593262744,0.0,58.07159092504754
36479,3.892328518637299,0.0,58.057454814788365
36480,3.892316184623941,0.0,58.0433469626136
36481,3.8923045566050423,0.0,58.02926731203534
36482,3.892293601474451,0.0,58.015215806678576
36483,3.892283287573376,0.0,58.00119239028102
36484,3.8922735846289545,0.0,57.987197006692845
36485,3.892264463695396,0.0,57.97322959987647
36486,3.8922558970975842,0.0,57.95929011390631
36487,3.892247858377051,0.0,57.945378492968615
36488,3.892240322240208,0.0,57.931494681361166
36489,3.892233264508752,0.0,57.917638623493126
36490,3.8922266620721486,0.0,57.903810263884765
36491,3.8922204928421125,0.0,57.89000954716726
36492,3.892214735708992,0.0,57.87623641808247
36493,3.89220937049999,0.0,57.86249082148272
36494,3.892204377939136,0.0,57.84877270233058
36495,3.8921997396089427,0.0,57.83508200569862
36496,3.8921954379136694,0.0,57.82141867676922
36497,3.8921914560441344,0.0,57.807782660834356
36498,3.8921877779440033,0.0,57.794173903295345
36499,3.892184388277496,0.0,57.780592349662655
36500,3.775447628086302,30.0,57.79841267486216
36501,3.7668337919219916,30.0,57.81736483111203
36502,3.758560256196286,30.0,57.83739740007527
36503,3.7506128351735937,30.0,57.85846116666807
36504,3.7429779322451715,30.0,57.88050897601756
36505,3.7356425153311568,30.0,57.90349564787587
